,Date,Region,Class,Commodity,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price
135,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, RED LEAF",each,73,1.07,0.79,1.99
122,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CHINESE CABBAGE,per pound,51,0.5,0.5,0.5
123,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CORN-SWEET,each,364,0.42,0.33,0.5
124,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,"1,777",0.85,0.2,1.5
125,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,per pound,10,0.69,0.69,0.69
126,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,16,2.12,0.99,2.49
127,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,15,1.29,0.25,1.99
128,1/11/2019,SOUTHWEST U.S.,VEGETABLES,EGGPLANT,each,215,0.96,0.33,2.0
129,1/11/2019,SOUTHWEST U.S.,VEGETABLES,EGGPLANT,per pound,54,0.49,0.49,0.49
130,1/11/2019,SOUTHWEST U.S.,VEGETABLES,GARLIC,per sleeve,99,1.39,1.29,1.5
131,1/11/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,21,0.63,0.5,0.89
132,1/11/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,238,1.25,0.69,2.99
133,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, GREEN LEAF",each,65,0.95,0.79,1.5
134,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ICEBERG",each,142,0.87,0.33,1.99
136,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",each,73,0.89,0.5,1.99
137,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,45,0.99,0.99,0.99
138,1/11/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,117,2.69,2.5,3.99
139,1/11/2019,SOUTHWEST U.S.,VEGETABLES,MUSHROOMS,8 oz package,795,1.91,1.5,2.49
140,1/11/2019,SOUTHWEST U.S.,VEGETABLES,MUSHROOMS,8 oz package,16,1.67,1.67,1.67
141,1/11/2019,SOUTHWEST U.S.,VEGETABLES,ONIONS GREEN,per bunch,15,0.52,0.33,0.69
121,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CHAYOTE,each,127,0.29,0.25,0.5
120,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,155,2.29,1.5,2.5
119,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,41,2.0,2.0,2.0
118,1/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,27,0.67,0.5,0.89
97,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per bunch,7,0.99,0.99,0.99
98,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per pound,10,0.5,0.5,0.5
99,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per bunch,53,2.0,1.99,2.0
100,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,8,2.0,2.0,2.0
101,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,63,0.49,0.49,0.5
102,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,269,2.99,2.99,2.99
103,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,191,1.92,1.29,2.0
104,1/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,295,1.87,0.99,1.99
