,Commodity,Date,Weighted Avg Price,Spring,Summer,Fall,Winter,Commodity Type
0,CUCUMBERS  ,1/11/2019,0.69,No,Yes,No,No,Vegetable
1991,APPLES FUJI,1/11/2019,1.48,Yes,Yes,Yes,Yes,Fruit
1990,APPLES FUJI,1/11/2019,0.87,Yes,Yes,Yes,Yes,Fruit
1989,APPLES PINK LADY/CRIPPS PINK,1/11/2019,1.54,Yes,Yes,Yes,Yes,Fruit
1988,APPLES BRAEBURN,1/11/2019,0.99,Yes,Yes,Yes,Yes,Fruit
1180,LEMONS  ,1/11/2019,0.61,Yes,Yes,Yes,Yes,Fruit
142,BROCCOLI CROWN CUT,1/11/2019,2.99,Yes,No,Yes,No,Vegetable
141,BROCCOLI CROWN CUT,1/11/2019,1.87,Yes,No,Yes,No,Vegetable
140,BROCCOLI  ,1/11/2019,1.92,Yes,No,Yes,No,Vegetable
139,BROCCOLI  ,1/11/2019,0.49,Yes,No,Yes,No,Vegetable
1987,APPLES BRAEBURN,1/11/2019,1.03,Yes,Yes,Yes,Yes,Fruit
1986,APPLES GRANNY SMITH,1/11/2019,1.94,Yes,Yes,Yes,Yes,Fruit
1985,APPLES HONEYCRISP,1/11/2019,1.6,Yes,Yes,Yes,Yes,Fruit
1984,APPLES HONEYCRISP,1/11/2019,2.29,Yes,Yes,Yes,Yes,Fruit
1983,APPLES JONAGOLD,1/11/2019,1.69,Yes,Yes,Yes,Yes,Fruit
1233,GRAPES WHITE SEEDLESS TYPE,1/11/2019,2.99,No,No,Yes,No,Fruit
1234,GRAPES RED SEEDLESS,1/11/2019,1.7,No,No,Yes,No,Fruit
103,BEETS  ,1/11/2019,0.5,No,Yes,Yes,Yes,Vegetable
2649,APRICOTS  ,1/11/2019,3.99,Yes,Yes,No,No,Fruit
76,EGGPLANT  ,1/11/2019,0.49,No,Yes,No,No,Vegetable
1992,APPLES GALA,1/11/2019,1.48,Yes,Yes,Yes,Yes,Fruit
1993,APPLES RED DELICIOUS,1/11/2019,0.78,Yes,Yes,Yes,Yes,Fruit
1994,APPLES GALA,1/11/2019,1.47,Yes,Yes,Yes,Yes,Fruit
1126,LIMES  ,1/11/2019,0.64,Yes,Yes,Yes,Yes,Fruit
385,CAULIFLOWER  ,1/11/2019,1.69,No,No,Yes,No,Vegetable
384,CAULIFLOWER  ,1/11/2019,0.79,No,No,Yes,No,Vegetable
536,SWEET POTATOES  ,1/11/2019,0.86,No,No,Yes,Yes,Vegetable
594,TOMATILLOS  ,1/11/2019,0.64,No,Yes,No,No,Fruit
646,TOMATOES VINE RIPES,1/11/2019,1.99,No,Yes,No,No,Fruit
647,TOMATOES VINE RIPES,1/11/2019,2.99,No,Yes,No,No,Fruit
648,"TOMATOES VINE RIPES, ON THE VINE",1/11/2019,2.49,No,Yes,No,No,Fruit
649,"TOMATOES VINE RIPES, ON THE VINE",1/11/2019,2.29,No,Yes,No,No,Fruit
650,TOMATOES VINE RIPE - HEIRLOOM VARIETIES,1/11/2019,3.99,No,Yes,No,No,Fruit
1480,GRAPEFRUIT RED,1/11/2019,1.5,No,No,No,Yes,Fruit
331,CARROTS  ,1/11/2019,0.42,Yes,Yes,Yes,Yes,Vegetable
286,BRUSSELS SPROUTS  ,1/11/2019,2.23,No,No,Yes,Yes,Vegetable
994,ORANGES VALENCIA,1/11/2019,0.79,No,No,No,Yes,Fruit
995,ORANGES NAVEL,1/11/2019,1.71,No,No,No,Yes,Fruit
996,ORANGES NAVEL,1/11/2019,0.9,No,No,No,Yes,Fruit
997,ORANGES VALENCIA,1/11/2019,0.89,No,No,No,Yes,Fruit
2516,CHERRIES RED VARIETIES,1/11/2019,6.99,No,Yes,No,No,Fruit
2517,CHERRIES RED VARIETIES,1/11/2019,4.32,No,Yes,No,No,Fruit
2561,BANANAS  ,1/11/2019,0.98,Yes,Yes,Yes,Yes,Fruit
2562,BANANAS  ,1/11/2019,0.39,Yes,Yes,Yes,Yes,Fruit
927,ASPARAGUS GREEN,1/11/2019,2.99,Yes,No,No,No,Vegetable
1481,GRAPEFRUIT RED,1/11/2019,1.16,No,No,No,Yes,Fruit
463,CABBAGE ROUND GREEN TYPE,1/11/2019,0.45,Yes,No,Yes,Yes,Vegetable
1628,PLUMS  ,1/11/2019,1.99,No,Yes,No,No,Fruit
1531,PEACHES VARIOUS YELLOW FLESH VARIETIES,1/11/2019,1.87,No,Yes,No,No,Fruit
1700,PINEAPPLES  ,1/11/2019,0.54,Yes,No,Yes,Yes,Fruit
1765,PEARS D'ANJOU,1/11/2019,1.99,No,No,Yes,Yes,Fruit
1769,PEARS BARTLETT,1/11/2019,0.92,No,No,Yes,Yes,Fruit
1766,PEARS D'ANJOU,1/11/2019,0.99,No,No,Yes,Yes,Fruit
1768,PEARS BOSC,1/11/2019,0.91,No,No,Yes,Yes,Fruit
1767,PEARS BOSC,1/11/2019,1.99,No,No,Yes,Yes,Fruit
2564,BANANAS  ,1/18/2019,0.69,Yes,Yes,Yes,Yes,Fruit
332,CARROTS  ,1/18/2019,0.36,Yes,Yes,Yes,Yes,Vegetable
1773,PEARS BARTLETT,1/18/2019,0.99,No,No,Yes,Yes,Fruit
928,ASPARAGUS GREEN,1/18/2019,3.07,Yes,No,No,No,Vegetable
1772,PEARS BOSC,1/18/2019,0.88,No,No,Yes,Yes,Fruit
1236,GRAPES RED SEEDLESS,1/18/2019,1.65,No,No,Yes,No,Fruit
1770,PEARS D'ANJOU,1/18/2019,1.31,No,No,Yes,Yes,Fruit
1995,APPLES RED DELICIOUS,1/18/2019,0.84,Yes,Yes,Yes,Yes,Fruit
1996,APPLES PINK LADY/CRIPPS PINK,1/18/2019,1.34,Yes,Yes,Yes,Yes,Fruit
1774,PEARS D'ANJOU,1/18/2019,1.99,No,No,Yes,Yes,Fruit
1181,LEMONS  ,1/18/2019,0.87,Yes,Yes,Yes,Yes,Fruit
1000,ORANGES NAVEL,1/18/2019,0.96,No,No,No,Yes,Fruit
998,ORANGES VALENCIA,1/18/2019,0.79,No,No,No,Yes,Fruit
999,ORANGES NAVEL,1/18/2019,1.5,No,No,No,Yes,Fruit
1997,APPLES JONAGOLD,1/18/2019,1.69,Yes,Yes,Yes,Yes,Fruit
104,BEETS  ,1/18/2019,0.59,No,Yes,Yes,Yes,Vegetable
2518,CHERRIES RED VARIETIES,1/18/2019,4.52,No,Yes,No,No,Fruit
464,CABBAGE RED TYPE,1/18/2019,1.99,Yes,No,Yes,Yes,Vegetable
145,BROCCOLI CROWN CUT,1/18/2019,1.52,Yes,No,Yes,No,Vegetable
2563,BANANAS  ,1/18/2019,0.38,Yes,Yes,Yes,Yes,Fruit
144,BROCCOLI  ,1/18/2019,1.47,Yes,No,Yes,No,Vegetable
143,BROCCOLI  ,1/18/2019,0.69,Yes,No,Yes,No,Vegetable
1532,PEACHES VARIOUS YELLOW FLESH VARIETIES,1/18/2019,2.64,No,Yes,No,No,Fruit
1235,GRAPES WHITE SEEDLESS TYPE,1/18/2019,2.48,No,No,Yes,No,Fruit
287,BRUSSELS SPROUTS  ,1/18/2019,1.79,No,No,Yes,Yes,Vegetable
1998,APPLES HONEYCRISP,1/18/2019,3.99,Yes,Yes,Yes,Yes,Fruit
1771,PEARS BOSC,1/18/2019,1.99,No,No,Yes,Yes,Fruit
2000,APPLES GALA,1/18/2019,1.72,Yes,Yes,Yes,Yes,Fruit
465,CABBAGE ROUND GREEN TYPE,1/18/2019,1.99,Yes,No,Yes,Yes,Vegetable
1127,LIMES  ,1/18/2019,0.63,Yes,Yes,Yes,Yes,Fruit
387,CAULIFLOWER  ,1/18/2019,1.35,No,No,Yes,No,Vegetable
386,CAULIFLOWER  ,1/18/2019,1.3,No,No,Yes,No,Vegetable
1,CUCUMBERS  ,1/18/2019,0.99,No,Yes,No,No,Vegetable
537,SWEET POTATOES  ,1/18/2019,0.75,No,No,Yes,Yes,Vegetable
1999,APPLES HONEYCRISP,1/18/2019,1.39,Yes,Yes,Yes,Yes,Fruit
595,TOMATILLOS  ,1/18/2019,0.77,No,Yes,No,No,Fruit
