Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,BRAEBURN,,,per pound,19,1,0.5,1.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,,,per pound,680,0.95,0.33,1.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,2 lb bag,542,2.78,2.49,2.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,FUJI,Y,,per pound,40,2.05,1.88,2.49,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,2 lb bag,83,3.79,3.79,3.79,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,3 lb bag,568,3.47,3.37,3.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,,,per pound,604,1.19,0.49,1.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,2 lb bag,611,2.9,2.49,3.79,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,3 lb bag,13,2.99,2.99,2.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GALA,Y,,per pound,260,2.49,2.49,2.49,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,2 lb bag,83,3.79,3.79,3.79,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,,,per pound,10,0.69,0.69,0.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,GRANNY SMITH,Y,,2 lb bag,611,2.9,2.49,3.79,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,HONEYCRISP,,,per pound,367,1.61,0.49,3.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,HONEYCRISP,Y,,per pound,194,2.56,2.29,3.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,JONAGOLD,,,per pound,22,0.82,0.33,1.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,,,per pound,267,1.03,0.98,1.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,PINK LADY/CRIPPS PINK,Y,,2 lb bag,225,2.49,2.49,2.49,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,3 lb bag,35,1.99,1.99,1.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,APPLES,RED DELICIOUS,,,per pound,79,0.62,0.33,1.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",JUICE,,,64 oz (1/2 gallon),658,1.68,1.48,2.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,HASS,,,each,"1,627",1.06,0.25,1.67,
1/4/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,HASS,Y,,each,328,1.18,0.79,2.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,BANANAS,,,,per pound,257,0.41,0.33,0.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,BANANAS,,Y,,per pound,65,0.69,0.69,0.69,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,,,,5.6 - 6 oz package,862,2.6,1.5,3,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,,Y,,5.6 - 6 oz package,5,2.99,2.99,2.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,,,,1 pint package,"1,331",2.57,0.97,3.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,,,,18 oz package,264,3.49,3.49,3.49,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,,,,6 oz package,"1,257",1.66,0.97,3.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,,Y,,6 oz package,234,3.02,2.99,4.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,CANTALOUPS,,,,per pound,56,0.97,0.89,0.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,CHERRIES,RED VARIETIES,,,per pound,"1,075",4.71,3.98,5.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,CLEMENTINES,,,,2 lb bag,61,1.87,1.77,2.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,CLEMENTINES,,,,3 lb bag,528,3.1,2.88,3.49,
1/4/2019,SOUTHWEST U.S.,FRUITS,CLEMENTINES,,,,5 lb package,542,3.94,3.77,3.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,RED,,,each,286,0.95,0.33,0.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,GRAPEFRUIT,RED,,,per pound,56,0.96,0.89,0.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,GRAPES,RED SEEDLESS,,,per pound,"1,013",1.84,0.88,2.99,1
1/4/2019,SOUTHWEST U.S.,FRUITS,GRAPES,WHITE SEEDLESS TYPE,,,per pound,353,1.96,0.99,2.99,3
1/4/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,HAYWARD,,,each,169,0.24,0.1,0.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,HAYWARD,Y,,1 lb bag,41,2.5,2.5,2.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,LEMONS,,,,each,13,0.43,0.33,0.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,LEMONS,,,,per pound,19,0.5,0.5,0.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,LEMONS,,Y,,each,8,0.59,0.59,0.59,
1/4/2019,SOUTHWEST U.S.,FRUITS,LEMONS,,Y,,per pound,6,0.99,0.99,0.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,LIMES,,,,each,11,0.1,0.1,0.1,
1/4/2019,SOUTHWEST U.S.,FRUITS,LIMES,,,,per pound,254,0.52,0.33,0.79,
1/4/2019,SOUTHWEST U.S.,FRUITS,MANGOES,,,,each,819,0.91,0.33,2,
1/4/2019,SOUTHWEST U.S.,FRUITS,MANGOES,,Y,,each,13,1.5,1.5,1.5,
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,,,3 lb bag,585,4.05,2.5,4.42,
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,,,4 lb bag,163,2.89,2.88,2.99,
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,,,each,12,0.5,0.33,0.59,
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,,,per pound,"1,446",0.84,0.2,1.24,
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,Y,,4 lb bag,4,3.99,3.99,3.99,100
1/4/2019,SOUTHWEST U.S.,FRUITS,ORANGES,NAVEL,Y,,per pound,86,1.25,0.99,1.99,
